exit=0
--- stdout tail ---
PASS Beginner #1: 4x4 - all clues satisfied, both regions connected
PASS Beginner #2: 4x4 - all clues satisfied, both regions connected
PASS Beginner #3: 4x4 - all clues satisfied, both regions connected
PASS Beginner #4: 4x4 - all clues satisfied, both regions connected
PASS Beginner #5: 4x4 - all clues satisfied, both regions connected
PASS Beginner #6: 4x4 - all clues satisfied, both regions connected
PASS Easy #7: 5x5 - all clues satisfied, both regions connected
PASS Easy #8: 5x5 - all clues satisfied, both regions connected
PASS Easy #9: 5x5 - all clues satisfied, both regions connected
PASS Easy #10: 5x5 - all clues satisfied, both regions connected
PASS Easy #11: 5x5 - all clues satisfied, both regions connected
PASS Easy #12: 5x5 - all clues satisfied, both regions connected
PASS Medium #13: 6x6 - all clues satisfied, both regions connected
PASS Medium #14: 6x6 - all clues satisfied, both regions connected
PASS Medium #15: 6x6 - all clues satisfied, both regions connected
PASS Medium #16: 6x6 - all clues satisfied, both regions connected
PASS Medium #17: 6x6 - all clues satisfied, both regions connected
PASS Medium #18: 6x6 - all clues satisfied, both regions connected
PASS Hard #19: 7x7 - all clues satisfied, both regions connected
PASS Hard #20: 7x7 - all clues satisfied, both regions connected
PASS Hard #21: 7x7 - all clues satisfied, both regions connected
PASS Hard #22: 7x7 - all clues satisfied, both regions connected
PASS Hard #23: 7x7 - all clues satisfied, both regions connected
PASS Hard #24: 7x7 - all clues satisfied, both regions connected
PASS Expert #25: 8x8 - all clues satisfied, both regions connected
PASS Expert #26: 8x8 - all clues satisfied, both regions connected
PASS Expert #27: 8x8 - all clues satisfied, both regions connected
PASS Expert #28: 8x8 - all clues satisfied, both regions connected
PASS Expert #29: 8x8 - all clues satisfied, both regions connected
PASS Expert #30: 8x8 - all clues satisfied, both regions connected

30/30 levels passed in-engine simulation

--- stderr tail ---

