exit=0
--- stdout tail ---
Loaded 30 levels from engine

L1 (Beginner): 5x5 — PASS
L2 (Beginner): 5x5 — PASS
L3 (Beginner): 5x5 — PASS
L4 (Beginner): 5x5 — PASS
L5 (Beginner): 5x5 — PASS
L6 (Beginner): 5x5 — PASS
L7 (Easy): 5x6 — PASS
L8 (Easy): 5x6 — PASS
L9 (Easy): 5x6 — PASS
L10 (Easy): 5x6 — PASS
L11 (Easy): 5x6 — PASS
L12 (Easy): 5x6 — PASS
L13 (Medium): 6x6 — PASS
L14 (Medium): 6x6 — PASS
L15 (Medium): 6x6 — PASS
L16 (Medium): 6x6 — PASS
L17 (Medium): 6x6 — PASS
L18 (Medium): 6x6 — PASS
L19 (Hard): 6x7 — PASS
L20 (Hard): 6x7 — PASS
L21 (Hard): 6x7 — PASS
L22 (Hard): 6x7 — PASS
L23 (Hard): 6x7 — PASS
L24 (Hard): 6x7 — PASS
L25 (Expert): 7x7 — PASS
L26 (Expert): 7x7 — PASS
L27 (Expert): 7x7 — PASS
L28 (Expert): 7x7 — PASS
L29 (Expert): 7x7 — PASS
L30 (Expert): 7x7 — PASS

✅ ALL 30/30 PASS

--- stderr tail ---

