exit=0
--- stdout tail ---
In-engine production checkSolution: 30/30 stored arrow sets accepted
Independent validator:
L1 5x5 6reg: VALID, solutions=2+
L2 5x5 6reg: VALID, solutions=2+
L3 5x5 6reg: VALID, solutions=2+
L4 5x5 6reg: VALID, solutions=2+
L5 5x5 6reg: VALID, solutions=2+
L6 5x5 6reg: VALID, solutions=2+
L7 6x6 8reg: VALID, solutions=2+
L8 6x6 8reg: VALID, solutions=2+
L9 6x6 8reg: VALID, solutions=2+
L10 6x6 8reg: VALID, solutions=2+
L11 6x6 8reg: VALID, solutions=2+
L12 6x6 8reg: VALID, solutions=2+
L13 6x7 10reg: VALID, solutions=2+
L14 6x7 10reg: VALID, solutions=2+
L15 6x7 10reg: VALID, solutions=2+
L16 6x7 10reg: VALID, solutions=2+
L17 6x7 10reg: VALID, solutions=2+
L18 6x7 10reg: VALID, solutions=2+
L19 7x7 12reg: VALID, solutions=2+
L20 7x7 12reg: VALID, solutions=2+
L21 7x7 12reg: VALID, solutions=2+
L22 7x7 12reg: VALID, solutions=2+
L23 7x7 12reg: VALID, solutions=2+
L24 7x7 12reg: VALID, solutions=2+
L25 7x8 14reg: VALID, solutions=2+
L26 7x8 14reg: VALID, solutions=2+
L27 7x8 14reg: VALID, solutions=2+
L28 7x8 14reg: VALID, solutions=2+
L29 7x8 14reg: VALID, solutions=2+
L30 7x8 14reg: VALID, solutions=2+

30/30 VALID. Counted unique=0; multiple (capped at 2)=30. FAIL=0

--- stderr tail ---

