exit=0
--- stdout tail ---
tower-of-hanoi in-engine verification: 28/28 (27 levels solved via 3-rod/Frame-Stewart solver, every move replayed through canvas pointerdown; 3 stars + bestMoves + unlock progression persisted; illegal-drop negative; reset path), verdict=PASS
  OK L1 (t1, 3d/3r) — 7 moves (optimal 7), 3 stars, win + save OK
  OK L2 (t1, 3d/3r) — 7 moves (optimal 7), 3 stars, win + save OK
  OK L3 (t1, 3d/3r) — 7 moves (optimal 7), 3 stars, win + save OK
  OK L4 (t1, 3d/3r) — 7 moves (optimal 7), 3 stars, win + save OK
  OK L5 (t1, 3d/3r) — 7 moves (optimal 7), 3 stars, win + save OK
  OK L6 (t2, 4d/3r) — 15 moves (optimal 15), 3 stars, win + save OK
  OK L7 (t2, 4d/3r) — 15 moves (optimal 15), 3 stars, win + save OK
  OK L8 (t2, 4d/3r) — 15 moves (optimal 15), 3 stars, win + save OK
  OK L9 (t2, 4d/3r) — 15 moves (optimal 15), 3 stars, win + save OK
  OK L10 (t2, 4d/3r) — 15 moves (optimal 15), 3 stars, win + save OK
  OK L11 (t3, 5d/3r) — 31 moves (optimal 31), 3 stars, win + save OK
  OK L12 (t3, 5d/3r) — 31 moves (optimal 31), 3 stars, win + save OK
  OK L13 (t3, 5d/3r) — 31 moves (optimal 31), 3 stars, win + save OK
  OK L14 (t3, 5d/3r) — 31 moves (optimal 31), 3 stars, win + save OK
  OK L15 (t3, 5d/3r) — 31 moves (optimal 31), 3 stars, win + save OK
  OK L16 (t4, 5d/4r) — 13 moves (optimal 22), 3 stars, win + save OK
  OK L17 (t4, 5d/4r) — 13 moves (optimal 22), 3 stars, win + save OK
  OK L18 (t4, 5d/4r) — 13 moves (optimal 22), 3 stars, win + save OK
  OK L19 (t4, 5d/4r) — 13 moves (optimal 22), 3 stars, win + save OK
  OK L20 (t4, 5d/4r) — 13 moves (optimal 22), 3 stars, win + save OK
  OK L21 (t5, 6d/4r) — 17 moves (optimal 44), 3 stars, win + save OK
  OK L22 (t5, 6d/4r) — 17 moves (optimal 44), 3 stars, win + save OK
  OK L23 (t5, 6d/4r) — 17 moves (optimal 44), 3 stars, win + save OK
  OK L24 (t5, 6d/4r) — 17 moves (optimal 44), 3 stars, win + save OK
  OK L25 (t6, 6d/4r) — 17 moves (optimal 44), 3 stars, win + save OK
  OK L26 (t6, 6d/4r) — 17 moves (optimal 44), 3 stars, win + save OK
  OK L27 (t6, 6d/4r) — 17 moves (optimal 44), 3 stars, win + save OK
  OK reset mid-level — level 27 board cleared
{"pass":28,"fail":0,"total":28,"verdict":"PASS"}

--- stderr tail ---

