exit=0
--- stdout tail ---
L1 4x4 3reg Beginner: PASS
L2 4x4 3reg Beginner: PASS
L3 4x4 3reg Beginner: PASS
L4 4x4 3reg Beginner: PASS
L5 4x4 3reg Beginner: PASS
L6 4x4 3reg Beginner: PASS
L7 5x5 4reg Easy: PASS
L8 5x5 4reg Easy: PASS
L9 5x5 4reg Easy: PASS
L10 5x5 4reg Easy: PASS
L11 5x5 4reg Easy: PASS
L12 5x5 4reg Easy: PASS
L13 6x6 5reg Medium: PASS
L14 6x6 5reg Medium: PASS
L15 6x6 5reg Medium: PASS
L16 6x6 5reg Medium: PASS
L17 6x6 5reg Medium: PASS
L18 6x6 5reg Medium: PASS
L19 7x7 6reg Hard: PASS
L20 7x7 6reg Hard: PASS
L21 7x7 6reg Hard: PASS
L22 7x7 6reg Hard: PASS
L23 7x7 6reg Hard: PASS
L24 7x7 6reg Hard: PASS
L25 8x8 7reg Expert: PASS
L26 8x8 7reg Expert: PASS
L27 8x8 7reg Expert: PASS
L28 8x8 7reg Expert: PASS
L29 8x8 7reg Expert: PASS
L30 8x8 7reg Expert: PASS

Method 3 (in-engine checkSolution, ACTUAL index.html engine via vm): 30/30 PASS, 0 FAIL

--- stderr tail ---

