  L 1 5x5 Beginner   clues=8/25 [0.1s]
  L 2 5x5 Beginner   clues=6/25 [0.2s]
  L 3 5x5 Beginner   clues=9/25 [0.3s]
  L 4 5x5 Beginner   clues=8/25 [0.4s]
  L 5 5x5 Beginner   clues=7/25 [0.5s]
  L 6 5x5 Beginner   clues=7/25 [0.5s]
  L 7 6x6 Easy       clues=14/36 [1.4s]
  L 8 6x6 Easy       clues=12/36 [3.4s]
  L 9 6x6 Easy       clues=10/36 [4.6s]
  L10 6x6 Easy       clues=11/36 [4.8s]
  L11 6x6 Easy       clues=11/36 [6.9s]
  L12 6x6 Easy       clues=11/36 [7.3s]
  L13 7x7 Medium     clues=18/49 [10.9s]
  L14 7x7 Medium     clues=15/49 [14.2s]
  L15 7x7 Medium     clues=20/49 [20.0s]
  L16 7x7 Medium     clues=17/49 [23.2s]
  L17 7x7 Medium     clues=16/49 [24.2s]
  L18 7x7 Medium     clues=17/49 [27.2s]
  L19 8x8 Hard       clues=22/64 [31.6s]
  L20 8x8 Hard       clues=27/64 [35.3s]
  L21 8x8 Hard       clues=23/64 [39.2s]
  L22 8x8 Hard       clues=19/64 [43.0s]
  L23 8x8 Hard       clues=26/64 [47.2s]
  L24 8x8 Hard       clues=22/64 [50.8s]
  L25 9x9 Expert     clues=33/81 [58.0s]
  L26 9x9 Expert     clues=33/81 [63.0s]
  L27 9x9 Expert     clues=31/81 [68.1s]
  L28 9x9 Expert     clues=28/81 [72.4s]
  L29 9x9 Expert     clues=81/81 [78.8s]
  L30 9x9 Expert     clues=30/81 [84.0s]

Generated 30 levels in 84.0s
