[gen] Beginner 5x5 seed=100000: 10 clues, black=7
[gen] Beginner 5x5 seed=100007: 14 clues, black=7
[gen] Beginner 5x5 seed=100014: 12 clues, black=7
[gen] Beginner 5x5 seed=100021: 11 clues, black=7
[gen] Beginner 5x5 seed=100028: 14 clues, black=7
[gen] Easy 6x6 seed=100136: 21 clues, black=12
[gen] Easy 6x6 seed=100143: 16 clues, black=12
[gen] Easy 6x6 seed=100150: 18 clues, black=12
[gen] Easy 6x6 seed=100157: 20 clues, black=12
[gen] Easy 6x6 seed=100164: 16 clues, black=12
[gen] Medium 7x7 seed=100272: 26 clues, black=18
[gen] Medium 7x7 seed=100279: 22 clues, black=18
[gen] Medium 7x7 seed=100286: 20 clues, black=18
[gen] Medium 7x7 seed=100293: 26 clues, black=18
[gen] Medium 7x7 seed=100300: 23 clues, black=18
[gen] Hard 8x8 seed=100408: 29 clues, black=25
[gen] Hard 8x8 seed=100415: 28 clues, black=25
[gen] Hard 8x8 seed=100422: 34 clues, black=25
[gen] Hard 8x8 seed=100429: 32 clues, black=25
[gen] Hard 8x8 seed=100436: 31 clues, black=25
[gen] Expert 9x9 seed=100544: 39 clues, black=34
[gen] Expert 9x9 seed=100551: 36 clues, black=34
[gen] Expert 9x9 seed=100558: 36 clues, black=34
[gen] Expert 9x9 seed=100565: 41 clues, black=34
[gen] Expert 9x9 seed=100572: 39 clues, black=34
[gen] Master 9x9 seed=100680: 39 clues, black=36
[gen] Master 9x9 seed=100687: 39 clues, black=36
