============================================================
Magic Sort Expansion: 10001-11000 (1000 levels) — MILESTONE 11K!
Strategy: 29-color, 3 extra tubes, depth>=34 (proven from 9K)
============================================================

[1/5] 10001-10200: 29c 3ext d>=34
  Level 10001: OK (pre_solved=0/29, depth=161)
  Level 10002: OK (pre_solved=0/29, depth=139)
  Level 10003: OK (pre_solved=0/29, depth=197)
  Level 10004: OK (pre_solved=0/29, depth=191)
  Level 10005: OK (pre_solved=0/29, depth=138)
  Level 10006: OK (pre_solved=0/29, depth=170)
  Level 10007: OK (pre_solved=0/29, depth=128)
  Level 10008: OK (pre_solved=0/29, depth=128)
  Level 10009: OK (pre_solved=0/29, depth=152)
  Level 10010: OK (pre_solved=0/29, depth=149)
  [Progress: 10/200, elapsed=120.0s, ETA=2280.6s]
  Level 10011: OK (pre_solved=0/29, depth=148)
  Level 10012: OK (pre_solved=0/29, depth=246)
  Level 10013: OK (pre_solved=0/29, depth=135)
  Level 10014: OK (pre_solved=0/29, depth=239)
  Level 10015: OK (pre_solved=0/29, depth=158)
  Level 10016: OK (pre_solved=0/29, depth=118)
  Level 10017: OK (pre_solved=0/29, depth=154)
  Level 10018: OK (pre_solved=0/29, depth=147)
  Level 10019: OK (pre_solved=0/29, depth=219)
  Level 10020: OK (pre_solved=0/29, depth=112)
  [Progress: 20/200, elapsed=181.1s, ETA=1629.7s]
  Level 10021: OK (pre_solved=0/29, depth=227)
  Level 10022: OK (pre_solved=0/29, depth=133)
  Level 10023: OK (pre_solved=0/29, depth=128)
  Level 10024: OK (pre_solved=0/29, depth=195)
  Level 10025: OK (pre_solved=0/29, depth=193)
  Level 10026: OK (pre_solved=0/29, depth=145)
  Level 10027: OK (pre_solved=0/29, depth=185)
  Level 10028: OK (pre_solved=0/29, depth=152)
  Level 10029: OK (pre_solved=0/29, depth=188)
  Level 10030: OK (pre_solved=0/29, depth=157)
  [Progress: 30/200, elapsed=191.8s, ETA=1087.1s]
  Level 10031: OK (pre_solved=0/29, depth=195)
  Level 10032: OK (pre_solved=0/29, depth=262)
  Level 10033: OK (pre_solved=0/29, depth=150)
  Level 10034: OK (pre_solved=0/29, depth=243)
  Level 10035: OK (pre_solved=0/29, depth=192)
  Level 10036: OK (pre_solved=0/29, depth=155)
  Level 10037: OK (pre_solved=0/29, depth=145)
  Level 10038: OK (pre_solved=0/29, depth=193)
  Level 10039: OK (pre_solved=0/29, depth=139)
  Level 10040: OK (pre_solved=0/29, depth=123)
  [Progress: 40/200, elapsed=300.7s, ETA=1202.8s]
  Level 10041: OK (pre_solved=0/29, depth=226)
  Level 10042: OK (pre_solved=0/29, depth=183)
  Level 10043: OK (pre_solved=0/29, depth=168)
  Level 10044: OK (pre_solved=0/29, depth=174)
  Level 10045: OK (pre_solved=0/29, depth=121)
  Level 10046: OK (pre_solved=0/29, depth=190)
  Level 10047: OK (pre_solved=0/29, depth=171)
  Level 10048: OK (pre_solved=0/29, depth=192)
  Level 10049: OK (pre_solved=0/29, depth=136)
  Level 10050: OK (pre_solved=0/29, depth=153)
  [Progress: 50/200, elapsed=431.7s, ETA=1295.0s]
  Level 10051: OK (pre_solved=0/29, depth=184)
  Level 10052: OK (pre_solved=0/29, depth=134)
  Level 10053: OK (pre_solved=0/29, depth=158)
  Level 10054: OK (pre_solved=0/29, depth=185)
  Level 10055: OK (pre_solved=0/29, depth=153)
  Level 10056: OK (pre_solved=0/29, depth=147)
  Level 10057: OK (pre_solved=0/29, depth=401)
  Level 10058: OK (pre_solved=0/29, depth=139)
  Level 10059: OK (pre_solved=0/29, depth=131)
  Level 10060: OK (pre_solved=0/29, depth=129)
  [Progress: 60/200, elapsed=473.7s, ETA=1105.2s]
  Level 10061: OK (pre_solved=0/29, depth=172)
  Level 10062: OK (pre_solved=0/29, depth=138)
  Level 10063: OK (pre_solved=0/29, depth=139)
  Level 10064: OK (pre_solved=0/29, depth=166)
  Level 10065: OK (pre_solved=0/29, depth=176)
  Level 10066: OK (pre_solved=0/29, depth=288)
  Level 10067: OK (pre_solved=0/29, depth=151)
  Level 10068: OK (pre_solved=0/29, depth=147)
  Level 10069: OK (pre_solved=0/29, depth=156)
  Level 10070: OK (pre_solved=0/29, depth=287)
  [Progress: 70/200, elapsed=640.1s, ETA=1188.8s]
  Level 10071: OK (pre_solved=0/29, depth=156)
  Level 10072: OK (pre_solved=0/29, depth=165)
  Level 10073: OK (pre_solved=0/29, depth=139)
  Level 10074: OK (pre_solved=0/29, depth=133)
  Level 10075: OK (pre_solved=0/29, depth=208)
  Level 10076: OK (pre_solved=0/29, depth=158)
  Level 10077: OK (pre_solved=0/29, depth=212)
