  Tier 0 L1: 5x5 regions=3 OK (attempt 1)
  Tier 0 L2: 5x5 regions=3 OK (attempt 1)
  Tier 0 L3: 5x5 regions=3 OK (attempt 1)
  Tier 0 L4: 5x5 regions=3 OK (attempt 1)
  Tier 0 L5: 5x5 regions=3 OK (attempt 1)
  Tier 0 L6: 5x5 regions=3 OK (attempt 1)
  Tier 1 L1: 6x6 regions=3 OK (attempt 4)
  Tier 1 L2: 6x6 regions=3 OK (attempt 3)
  Tier 1 L3: 6x6 regions=3 OK (attempt 1)
  Tier 1 L4: 6x6 regions=3 OK (attempt 1)
  Tier 1 L5: 6x6 regions=3 OK (attempt 5)
  Tier 1 L6: 6x6 regions=3 OK (attempt 5)
  Tier 2 L1: 7x7 regions=4 OK (attempt 1)
  Tier 2 L2: 7x7 regions=4 OK (attempt 3)
  Tier 2 L3: 7x7 regions=4 OK (attempt 3)
  Tier 2 L4: 7x7 regions=4 OK (attempt 3)
  Tier 2 L5: 7x7 regions=4 OK (attempt 1)
  Tier 2 L6: 7x7 regions=4 OK (attempt 1)
  Tier 3 L1: 8x8 regions=4 OK (attempt 6)
  Tier 3 L2: 8x8 regions=4 OK (attempt 2)
  Tier 3 L3: 8x8 regions=4 OK (attempt 4)
  Tier 3 L4: 8x8 regions=4 OK (attempt 2)
  Tier 3 L5: 8x8 regions=4 OK (attempt 4)
  Tier 3 L6: 8x8 regions=4 OK (attempt 23)
  Tier 4 L1: 9x9 regions=5 OK (attempt 15)
  Tier 4 L2: 9x9 regions=5 OK (attempt 84)
  Tier 4 L3: 9x9 regions=5 OK (attempt 189)
  Tier 4 L4: 9x9 regions=5 OK (attempt 15)
  Tier 4 L5: 9x9 regions=5 OK (attempt 50)
  Tier 4 L6: 9x9 regions=5 OK (attempt 35)
  L1: PASS (5x5, 3 regions)
  L2: PASS (5x5, 3 regions)
  L3: PASS (5x5, 3 regions)
  L4: PASS (5x5, 3 regions)
  L5: PASS (5x5, 3 regions)
  L6: PASS (5x5, 3 regions)
  L7: PASS (6x6, 3 regions)
  L8: PASS (6x6, 3 regions)
  L9: PASS (6x6, 3 regions)
  L10: PASS (6x6, 3 regions)
  L11: PASS (6x6, 3 regions)
  L12: PASS (6x6, 3 regions)
  L13: PASS (7x7, 4 regions)
  L14: PASS (7x7, 4 regions)
  L15: PASS (7x7, 4 regions)
  L16: PASS (7x7, 4 regions)
  L17: PASS (7x7, 4 regions)
  L18: PASS (7x7, 4 regions)
  L19: PASS (8x8, 4 regions)
  L20: PASS (8x8, 4 regions)
  L21: PASS (8x8, 4 regions)
  L22: PASS (8x8, 4 regions)
  L23: PASS (8x8, 4 regions)
  L24: PASS (8x8, 4 regions)
  L25: PASS (9x9, 5 regions)
  L26: PASS (9x9, 5 regions)
  L27: PASS (9x9, 5 regions)
  L28: PASS (9x9, 5 regions)
  L29: PASS (9x9, 5 regions)
  L30: PASS (9x9, 5 regions)

Generated 30 levels, all verified.
