  level  1 [Beginner] target=40  givens C=48 TL=40 TR=40 BL=40 BR=40 total=208
  level  2 [Beginner] target=40  givens C=43 TL=40 TR=40 BL=40 BR=40 total=203
  level  3 [Beginner] target=40  givens C=46 TL=40 TR=40 BL=40 BR=40 total=206
  level  4 [Beginner] target=40  givens C=46 TL=40 TR=40 BL=40 BR=40 total=206
  level  5 [Beginner] target=40  givens C=46 TL=40 TR=40 BL=40 BR=40 total=206
  level  6 [Easy    ] target=34  givens C=43 TL=34 TR=34 BL=34 BR=34 total=179
  level  7 [Easy    ] target=34  givens C=44 TL=34 TR=34 BL=34 BR=34 total=180
  level  8 [Easy    ] target=34  givens C=45 TL=34 TR=34 BL=34 BR=34 total=181
  level  9 [Easy    ] target=34  givens C=43 TL=34 TR=34 BL=34 BR=34 total=179
  level 10 [Easy    ] target=34  givens C=46 TL=34 TR=34 BL=34 BR=34 total=182
  level 11 [Medium  ] target=30  givens C=45 TL=30 TR=30 BL=30 BR=30 total=165
  level 12 [Medium  ] target=30  givens C=45 TL=30 TR=30 BL=30 BR=30 total=165
  level 13 [Medium  ] target=30  givens C=45 TL=30 TR=30 BL=30 BR=30 total=165
  level 14 [Medium  ] target=30  givens C=45 TL=30 TR=30 BL=30 BR=30 total=165
  level 15 [Medium  ] target=30  givens C=46 TL=30 TR=30 BL=30 BR=30 total=166
  level 16 [Hard    ] target=26  givens C=45 TL=28 TR=26 BL=27 BR=28 total=154
  level 17 [Hard    ] target=26  givens C=46 TL=28 TR=27 BL=27 BR=27 total=155
  level 18 [Hard    ] target=26  givens C=45 TL=29 TR=28 BL=28 BR=28 total=158
  level 19 [Hard    ] target=26  givens C=44 TL=27 TR=28 BL=28 BR=29 total=156
  level 20 [Hard    ] target=26  givens C=43 TL=28 TR=28 BL=27 BR=27 total=153
  level 21 [Expert  ] target=23  givens C=43 TL=27 TR=26 BL=31 BR=28 total=155
  level 22 [Expert  ] target=23  givens C=44 TL=27 TR=28 BL=29 BR=26 total=154
  level 23 [Expert  ] target=23  givens C=44 TL=27 TR=27 BL=27 BR=28 total=153
  level 24 [Expert  ] target=23  givens C=45 TL=27 TR=26 BL=28 BR=27 total=153
  level 25 [Master  ] target=20  givens C=44 TL=28 TR=28 BL=28 BR=27 total=155
  level 26 [Master  ] target=20  givens C=45 TL=29 TR=27 BL=28 BR=28 total=157
  level 27 [Master  ] target=20  givens C=45 TL=27 TR=29 BL=26 BR=27 total=154
Wrote 27 levels -> levels.json
