  Beginner #1: N=5, squares=1, clues=12, blacks=9
  Beginner #2: N=5, squares=1, clues=12, blacks=9
  Beginner #3: N=5, squares=1, clues=12, blacks=9
  Beginner #4: N=5, squares=2, clues=11, blacks=10
  Beginner #5: N=5, squares=1, clues=12, blacks=9
  Beginner #6: N=5, squares=1, clues=12, blacks=9
  Easy #1: N=6, squares=3, clues=15, blacks=17
  Easy #2: N=6, squares=3, clues=14, blacks=14
  Easy #3: N=6, squares=3, clues=15, blacks=17
  Easy #4: N=6, squares=3, clues=16, blacks=14
  Easy #5: N=6, squares=2, clues=10, blacks=13
  Easy #6: N=6, squares=2, clues=11, blacks=10
  Medium #1: N=7, squares=2, clues=16, blacks=18
  Medium #2: N=7, squares=3, clues=16, blacks=11
  Medium #3: N=7, squares=3, clues=20, blacks=17
  Medium #4: N=7, squares=3, clues=18, blacks=14
  Medium #5: N=7, squares=2, clues=16, blacks=18
  Medium #6: N=7, squares=3, clues=18, blacks=17
  Hard #1: N=8, squares=4, clues=27, blacks=23
  Hard #2: N=8, squares=3, clues=22, blacks=19
  Hard #3: N=8, squares=3, clues=23, blacks=17
  Hard #4: N=8, squares=4, clues=22, blacks=13
  Hard #5: N=8, squares=3, clues=13, blacks=6
  Hard #6: N=8, squares=4, clues=23, blacks=18
  Expert #1: N=9, squares=4, clues=28, blacks=15
