--- Beginner (n=4, target_clues=6, count=4) ---
  L1 Beginner: clues=6 (target 6) OK
  L2 Beginner: clues=6 (target 6) OK
  L3 Beginner: clues=6 (target 6) OK
  L4 Beginner: clues=6 (target 6) OK
--- Easy (n=6, target_clues=14, count=4) ---
  L5 Easy: clues=14 (target 14) OK
  L6 Easy: clues=14 (target 14) OK
  L7 Easy: clues=14 (target 14) OK
  L8 Easy: clues=14 (target 14) OK
--- Medium (n=6, target_clues=11, count=4) ---
  L9 Medium: clues=11 (target 11) OK
  L10 Medium: clues=11 (target 11) OK
  L11 Medium: clues=11 (target 11) OK
  L12 Medium: clues=11 (target 11) OK
--- Hard (n=9, target_clues=30, count=6) ---
  L13 Hard: clues=30 (target 30) OK
  L14 Hard: clues=30 (target 30) OK
  L15 Hard: clues=30 (target 30) OK
  L16 Hard: clues=30 (target 30) OK
  L17 Hard: clues=30 (target 30) OK
  L18 Hard: clues=30 (target 30) OK
--- Expert (n=9, target_clues=26, count=5) ---
  L19 Expert: clues=26 (target 26) OK
  L20 Expert: clues=26 (target 26) OK
  L21 Expert: clues=26 (target 26) OK
  L22 Expert: clues=26 (target 26) OK
  L23 Expert: clues=26 (target 26) OK
--- Master (n=9, target_clues=23, count=4) ---
  L24 Master: clues=23 (target 23) OK
  L25 Master: clues=23 (target 23) OK
  L26 Master: clues=23 (target 23) OK
  L27 Master: clues=23 (target 23) OK
